CustomerID,Age,Gender,Tenure_Months,Contract_Type,Monthly_Charge,Total_Charges,Num_Support_Tickets,Avg_Monthly_Usage_Hrs,Num_Referrals,Has_Premium_Support,Has_Online_Backup,Payment_Method,Churned
CUST-00097,62,Female,61,Month-to-Month,39.5,2377.61,1,299.2,1,0,1,Credit Card,0
CUST-00098,58,Female,33,Month-to-Month,51.35,1711.81,0,294.1,0,0,0,Digital Wallet,0
CUST-00099,46,Male,45,Month-to-Month,82.06,3743.38,0,161.7,1,0,1,Digital Wallet,0
CUST-00100,32,Female,69,Month-to-Month,83.84,5749.9,3,136.8,0,1,0,Digital Wallet,0
CUST-00101,62,Female,8,One-Year,89.94,654.24,1,138.9,1,0,0,Credit Card,0
CUST-00102,18,Male,25,Two-Year,31.2,746.13,0,128.8,0,1,1,Credit Card,0
CUST-00103,42,Female,46,Two-Year,104.95,4775.5,1,159.7,0,0,0,Bank Transfer,0
CUST-00104,24,Male,30,Month-to-Month,73.28,2228.04,3,82.4,1,0,1,Credit Card,0
CUST-00105,26,Female,47,Month-to-Month,67.13,3154.9,2,278.1,1,0,0,Digital Wallet,0
CUST-00106,41,Male,49,Two-Year,118.11,5881.41,1,147.3,0,1,1,Credit Card,0
CUST-00107,18,Male,47,Two-Year,94.04,4456.61,1,252.7,0,0,0,Credit Card,0
CUST-00108,61,Male,18,Month-to-Month,31.8,663.09,1,142.9,2,0,1,Credit Card,0
CUST-00109,25,Male,66,Month-to-Month,95.65,6242.71,1,215.6,0,0,1,Bank Transfer,1
CUST-00110,41,Female,68,Month-to-Month,29.52,1844.72,2,101.4,0,1,1,Digital Wallet,0
CUST-00111,28,Male,33,Two-Year,22.75,762.9,3,187.6,1,1,0,Digital Wallet,0
CUST-00112,68,Female,36,One-Year,60.36,2179.12,2,149.8,0,1,1,Digital Wallet,0
CUST-00113,34,Male,19,Month-to-Month,119.36,2261.7,0,110.5,0,0,1,Digital Wallet,0
CUST-00114,25,Male,28,Month-to-Month,37.49,1054.51,1,264.5,1,0,1,Credit Card,1
CUST-00115,52,Male,40,Two-Year,87.26,3434.2,0,34.3,1,0,1,Digital Wallet,0
CUST-00116,52,Female,15,Month-to-Month,37.34,588.26,2,146.3,0,0,0,Credit Card,0
CUST-00117,50,Male,41,Month-to-Month,92.48,3828.49,3,58.7,0,1,0,Digital Wallet,0
CUST-00118,22,Female,39,One-Year,70.54,2691.07,0,258.4,0,1,1,Digital Wallet,0
CUST-00119,59,Female,2,Month-to-Month,88.0,158.32,0,76.4,1,1,1,Digital Wallet,0
CUST-00120,56,Female,63,Month-to-Month,40.29,2523.68,1,190.2,0,0,0,Credit Card,1
CUST-00121,58,Female,29,Two-Year,94.56,2708.7,2,50.1,1,1,0,Cash,0
CUST-00122,45,Female,66,Two-Year,119.56,7832.9,1,121.8,2,1,1,Digital Wallet,0
CUST-00123,24,Female,51,Two-Year,86.57,4415.7,2,269.9,2,0,0,Digital Wallet,0
CUST-00124,26,Female,10,Two-Year,69.35,706.54,3,50.2,0,0,0,Credit Card,0
CUST-00125,25,Female,14,One-Year,112.32,1541.97,1,199.1,4,0,1,Bank Transfer,0
CUST-00126,29,Female,51,Two-Year,21.59,1046.55,3,61.8,3,0,1,Credit Card,0
CUST-00127,51,Male,39,Month-to-Month,92.99,3647.14,0,125.0,0,1,1,Bank Transfer,0
CUST-00128,50,Male,28,One-Year,108.87,3009.99,0,162.4,1,0,0,Bank Transfer,1
CUST-00129,65,Male,3,Two-Year,26.17,63.05,1,173.4,0,0,0,Cash,1
CUST-00130,40,Male,70,Month-to-Month,65.01,4528.9,0,181.0,1,0,1,Credit Card,0
CUST-00131,41,Male,27,Month-to-Month,40.47,1154.98,3,192.2,3,0,0,Digital Wallet,0
CUST-00132,54,Female,2,Month-to-Month,76.65,117.23,2,81.9,1,0,0,Credit Card,0
CUST-00133,52,Female,38,Month-to-Month,84.95,3314.38,0,120.7,2,1,1,Bank Transfer,0
CUST-00134,61,Female,3,Month-to-Month,50.26,188.4,2,11.7,1,0,1,Cash,1
CUST-00135,57,Female,16,Two-Year,66.0,1147.04,1,230.7,0,1,0,Digital Wallet,0
CUST-00136,39,Female,40,Two-Year,47.93,1950.43,0,251.2,0,1,0,Bank Transfer,0
CUST-00137,44,Female,2,Month-to-Month,56.94,102.83,4,60.2,1,0,0,Credit Card,1
CUST-00138,52,Female,41,Month-to-Month,35.95,1428.08,1,60.8,1,1,0,Bank Transfer,0
CUST-00139,18,Male,12,Month-to-Month,108.56,1284.95,1,13.1,0,0,0,Credit Card,0
CUST-00140,52,Male,35,Two-Year,21.0,809.36,0,291.1,1,0,0,Bank Transfer,0
CUST-00141,54,Male,65,Month-to-Month,108.24,7033.2,2,242.3,1,0,0,Credit Card,0
CUST-00142,64,Male,55,Month-to-Month,77.17,4277.4,1,108.5,0,0,1,Digital Wallet,0
CUST-00143,31,Female,45,Month-to-Month,53.17,2403.0,0,144.8,3,0,0,Credit Card,0
CUST-00144,20,Female,62,Month-to-Month,92.31,5735.7,3,87.9,1,1,1,Credit Card,0
CUST-00145,18,Female,49,Month-to-Month,70.78,3482.63,0,179.4,0,0,1,Digital Wallet,0
CUST-00146,22,Male,25,Two-Year,69.91,1772.52,3,215.3,1,0,1,Cash,0
CUST-00147,43,Female,23,One-Year,31.01,672.52,4,134.5,0,1,1,Cash,0
CUST-00148,31,Female,24,One-Year,58.95,1401.05,3,262.1,1,1,1,Digital Wallet,0
CUST-00149,56,Female,38,Month-to-Month,44.11,1691.65,2,155.3,0,0,1,Credit Card,0
CUST-00150,44,Male,28,One-Year,21.57,612.13,0,43.7,0,0,0,Credit Card,0
CUST-00151,26,Female,21,One-Year,56.01,1153.15,3,186.9,2,0,1,Cash,0
CUST-00152,32,Male,54,Month-to-Month,28.98,1585.75,1,138.9,1,0,0,Cash,1
CUST-00153,32,Male,18,One-Year,45.68,783.68,0,280.7,1,0,1,Digital Wallet,0
CUST-00154,43,Male,36,Month-to-Month,29.25,991.85,3,117.9,1,1,0,Credit Card,0
CUST-00155,59,Male,45,Two-Year,30.09,1368.8,1,121.2,1,0,0,Credit Card,0
CUST-00156,30,Female,53,Month-to-Month,39.9,2054.78,0,195.4,0,0,1,Cash,0
CUST-00157,68,Male,30,Two-Year,119.98,3613.41,4,158.3,3,1,0,Credit Card,0
CUST-00158,49,Male,60,Month-to-Month,20.22,1115.47,1,112.6,1,0,1,Digital Wallet,0
CUST-00159,56,Female,32,One-Year,83.87,2647.59,0,296.9,0,0,1,Cash,0
CUST-00160,66,Female,67,One-Year,34.12,2269.66,2,91.0,0,0,1,Digital Wallet,0
CUST-00161,69,Male,67,One-Year,112.06,7427.69,0,83.6,1,1,0,Credit Card,0
CUST-00162,49,Female,28,Month-to-Month,29.36,803.45,2,259.4,1,1,0,Credit Card,0
CUST-00163,21,Male,44,Month-to-Month,115.51,5141.69,1,1.5,1,1,1,Credit Card,0
CUST-00164,47,Male,41,One-Year,81.09,3261.17,1,60.8,1,0,1,Digital Wallet,0
CUST-00165,54,Male,63,Month-to-Month,20.13,1250.92,0,177.3,1,1,1,Bank Transfer,0
CUST-00166,40,Male,23,Month-to-Month,109.4,2601.33,3,49.2,2,0,1,Credit Card,0
CUST-00167,56,Female,48,One-Year,72.17,3411.07,0,295.7,0,0,1,Credit Card,0
CUST-00168,62,Male,32,One-Year,46.27,1550.5,1,139.5,1,0,0,Credit Card,0
CUST-00169,32,Female,57,Month-to-Month,96.73,5499.66,0,179.4,0,0,1,Cash,0
CUST-00170,60,Female,33,Month-to-Month,112.67,3723.21,2,48.5,1,0,0,Digital Wallet,0
CUST-00171,46,Female,24,Month-to-Month,68.37,1705.45,1,87.2,0,0,0,Bank Transfer,0
CUST-00172,53,Female,39,One-Year,51.56,1986.59,1,184.6,1,0,1,Cash,0
CUST-00173,30,Male,34,One-Year,98.89,3393.81,2,165.1,0,0,0,Digital Wallet,0
CUST-00174,49,Female,56,Two-Year,88.18,4982.31,3,235.4,1,1,1,Digital Wallet,0
CUST-00175,24,Male,28,Two-Year,108.88,3016.1,1,81.1,3,1,0,Digital Wallet,0
CUST-00176,68,Female,37,Month-to-Month,89.25,3264.18,5,196.2,0,0,0,Digital Wallet,1
CUST-00177,39,Female,7,Month-to-Month,44.35,299.02,2,87.6,1,0,0,Credit Card,0
CUST-00178,45,Male,68,Month-to-Month,113.17,7685.69,1,176.2,2,0,1,Bank Transfer,1
CUST-00179,19,Male,37,Month-to-Month,30.48,1073.81,0,181.7,1,0,0,Digital Wallet,1
CUST-00180,59,Male,56,Two-Year,46.79,2588.16,2,37.0,1,1,1,Credit Card,0
CUST-00181,62,Female,65,One-Year,72.02,4507.95,3,164.8,1,0,1,Credit Card,0
CUST-00182,23,Female,65,Month-to-Month,76.57,4960.34,4,4.1,1,0,0,Credit Card,1
CUST-00183,45,Male,47,Month-to-Month,21.53,1056.63,1,150.6,4,0,1,Credit Card,0
CUST-00184,45,Male,20,One-Year,98.06,1877.87,1,209.4,2,1,1,Credit Card,0
CUST-00185,61,Male,19,One-Year,56.16,1043.88,1,22.3,1,0,1,Digital Wallet,0
CUST-00186,61,Male,29,Month-to-Month,60.64,1880.68,0,281.6,1,1,1,Credit Card,0
CUST-00187,37,Female,60,Two-Year,100.94,6055.27,1,137.9,1,0,0,Credit Card,0
CUST-00188,47,Male,18,One-Year,57.93,1110.58,3,281.6,0,1,0,Cash,0
CUST-00189,28,Male,35,Month-to-Month,24.72,814.6,1,32.7,0,1,1,Digital Wallet,0
CUST-00190,45,Male,43,Two-Year,37.64,1640.96,1,285.0,0,0,0,Credit Card,0
CUST-00191,42,Male,11,Month-to-Month,115.59,1212.38,3,33.2,1,1,1,Bank Transfer,1
CUST-00192,56,Female,49,Two-Year,27.04,1345.01,1,138.7,0,1,0,Digital Wallet,0
CUST-00193,50,Male,38,Two-Year,55.49,2150.73,1,281.4,3,1,0,Digital Wallet,0
CUST-00194,18,Female,64,One-Year,70.32,4530.73,1,70.2,0,1,1,Credit Card,0
CUST-00195,44,Male,69,One-Year,69.33,4766.52,4,10.9,0,0,0,Cash,0
CUST-00196,69,Male,8,Month-to-Month,20.4,176.95,4,238.0,0,0,0,Digital Wallet,1
CUST-00197,30,Female,34,Two-Year,70.12,2398.3,0,179.0,2,1,1,Cash,0
CUST-00198,58,Male,48,One-Year,58.38,2835.54,1,154.4,0,0,0,Credit Card,0
CUST-00199,20,Female,56,One-Year,117.21,6557.57,3,10.8,1,1,0,Credit Card,0
CUST-00200,56,Female,65,Two-Year,35.92,2381.36,1,196.1,2,0,0,Credit Card,0
CUST-00201,23,Male,31,Two-Year,55.42,1789.75,1,51.9,1,0,0,Credit Card,0
CUST-00202,25,Female,4,Two-Year,61.95,231.91,2,279.4,2,1,0,Credit Card,0
CUST-00203,44,Female,50,Month-to-Month,59.07,2955.82,1,205.9,1,1,1,Credit Card,0
CUST-00204,26,Female,69,Two-Year,86.58,5928.78,1,212.3,1,0,1,Digital Wallet,0
CUST-00205,54,Female,30,One-Year,41.55,1263.51,1,70.2,0,0,1,Credit Card,0
CUST-00206,50,Female,59,Two-Year,42.11,2501.82,1,264.3,0,1,0,Credit Card,0
CUST-00207,68,Female,67,One-Year,92.92,6228.54,2,161.6,2,1,1,Cash,0
CUST-00208,59,Female,45,Month-to-Month,70.03,3158.02,2,257.2,0,0,1,Credit Card,0
CUST-00209,61,Female,4,Month-to-Month,61.52,342.17,0,81.6,1,0,0,Bank Transfer,1
CUST-00210,41,Male,26,One-Year,36.92,815.58,1,226.8,0,0,0,Digital Wallet,0
CUST-00211,32,Male,27,One-Year,38.75,1021.42,0,172.6,0,1,1,Cash,0
CUST-00212,49,Female,46,Month-to-Month,21.06,951.57,1,15.0,0,0,1,Cash,1
CUST-00213,49,Male,64,One-Year,29.14,1937.81,1,121.9,1,0,0,Bank Transfer,0
CUST-00214,41,Female,51,Month-to-Month,75.68,3883.44,2,55.6,2,0,0,Cash,0
CUST-00215,58,Female,50,Two-Year,109.19,5484.48,0,108.1,0,0,0,Bank Transfer,0
CUST-00216,69,Male,6,Month-to-Month,48.72,355.31,2,115.3,2,0,0,Digital Wallet,1
CUST-00217,66,Female,59,Month-to-Month,52.77,3104.43,2,142.7,0,0,0,Credit Card,0
CUST-00218,66,Female,15,Month-to-Month,31.56,506.02,4,180.3,0,1,0,Digital Wallet,0
CUST-00219,69,Female,30,Month-to-Month,58.86,1739.26,2,171.5,1,0,1,Bank Transfer,0
CUST-00220,29,Female,42,Month-to-Month,23.72,943.57,1,12.2,1,0,1,Digital Wallet,0
CUST-00221,56,Male,37,Month-to-Month,111.76,4224.83,0,225.3,1,0,1,Digital Wallet,1
CUST-00222,19,Female,42,Month-to-Month,87.31,3685.47,1,284.8,1,1,1,Credit Card,0
CUST-00223,20,Female,35,Two-Year,119.07,4199.68,1,104.9,0,1,0,Credit Card,0
CUST-00224,66,Female,6,Two-Year,108.28,595.67,1,54.3,2,0,0,Digital Wallet,0
CUST-00225,54,Male,68,Month-to-Month,67.3,4601.92,0,162.2,1,0,0,Credit Card,0
CUST-00226,66,Female,18,Two-Year,71.97,1384.37,1,211.6,1,0,0,Credit Card,0
CUST-00227,34,Male,29,Month-to-Month,39.06,1118.87,1,203.8,0,1,1,Digital Wallet,0
CUST-00228,66,Male,59,One-Year,66.2,3843.01,4,183.8,3,0,1,Cash,0
CUST-00229,19,Female,47,One-Year,110.3,5193.3,2,44.3,1,0,0,Credit Card,0
CUST-00230,19,Female,17,Month-to-Month,25.09,374.74,0,251.1,3,1,0,Bank Transfer,1
CUST-00231,45,Male,22,Month-to-Month,106.36,2262.03,0,128.0,1,0,0,Credit Card,0
CUST-00232,40,Female,68,Month-to-Month,54.09,3641.38,2,66.8,0,0,0,Bank Transfer,0
CUST-00233,54,Male,69,Month-to-Month,109.95,7561.92,1,26.3,1,0,0,Credit Card,0
CUST-00234,49,Male,37,One-Year,114.09,4171.97,1,125.3,0,0,0,Digital Wallet,0
CUST-00235,50,Female,49,Month-to-Month,87.09,4333.73,4,185.6,0,0,0,Digital Wallet,0
CUST-00236,18,Female,13,Month-to-Month,86.44,1218.2,0,199.8,0,0,0,Credit Card,0
CUST-00237,36,Male,34,Month-to-Month,65.28,2250.42,3,288.8,0,1,1,Digital Wallet,0
CUST-00238,19,Male,53,Month-to-Month,103.55,5507.36,0,46.4,0,0,1,Bank Transfer,1
CUST-00239,61,Male,51,One-Year,116.16,5917.06,1,295.7,1,0,1,Credit Card,0
CUST-00240,43,Male,3,Month-to-Month,97.51,247.71,0,196.6,0,0,0,Bank Transfer,1
CUST-00241,49,Female,42,Two-Year,82.19,3532.13,2,136.5,0,0,1,Bank Transfer,0
CUST-00242,23,Female,32,Month-to-Month,80.68,2578.62,2,266.5,1,1,1,Credit Card,0
CUST-00243,49,Female,51,Month-to-Month,104.95,5329.32,2,208.5,0,1,0,Digital Wallet,0
CUST-00244,21,Female,46,One-Year,74.12,3460.26,3,104.9,0,1,0,Digital Wallet,0
CUST-00245,28,Female,21,Month-to-Month,100.39,2104.51,4,265.3,0,0,0,Digital Wallet,0
CUST-00246,34,Male,44,One-Year,70.89,3168.02,3,200.2,1,0,0,Bank Transfer,0
CUST-00247,55,Female,11,One-Year,26.24,268.15,4,209.8,1,0,0,Credit Card,0
CUST-00248,41,Female,68,Month-to-Month,58.39,4021.4,5,269.0,2,0,1,Digital Wallet,0
CUST-00249,22,Female,1,Month-to-Month,64.44,113.43,1,134.8,0,0,0,Credit Card,0
CUST-00250,69,Female,63,Month-to-Month,34.16,2218.32,2,197.2,0,1,0,Digital Wallet,0
CUST-00251,51,Female,24,Month-to-Month,30.25,690.53,0,223.5,1,0,0,Digital Wallet,0
CUST-00252,23,Male,13,Month-to-Month,73.55,952.0,0,136.5,1,1,0,Digital Wallet,0
CUST-00253,39,Male,11,Month-to-Month,28.51,411.0,0,25.5,0,0,1,Bank Transfer,1
CUST-00254,28,Male,51,Month-to-Month,50.29,2552.47,0,231.5,0,0,1,Cash,0
CUST-00255,65,Female,17,One-Year,94.46,1646.37,1,14.8,0,0,0,Digital Wallet,0
CUST-00256,33,Male,24,One-Year,116.44,2909.09,0,215.5,0,0,0,Bank Transfer,0
CUST-00257,50,Male,19,One-Year,91.79,1651.56,0,273.3,0,1,1,Digital Wallet,0
CUST-00258,26,Female,37,Month-to-Month,119.26,4398.64,2,104.4,1,0,0,Credit Card,0
CUST-00259,23,Female,8,Month-to-Month,89.83,718.73,2,31.1,2,1,1,Bank Transfer,1
CUST-00260,33,Female,28,Two-Year,49.38,1292.7,1,70.2,1,0,1,Cash,0
CUST-00261,46,Male,5,One-Year,87.21,413.25,1,168.9,0,1,1,Credit Card,0
CUST-00262,20,Male,17,Two-Year,90.22,1485.17,1,282.8,1,1,0,Bank Transfer,0
CUST-00263,37,Female,36,Month-to-Month,57.17,2101.0,2,153.9,1,0,1,Bank Transfer,0
CUST-00264,53,Female,19,One-Year,21.77,327.0,1,34.3,2,0,1,Bank Transfer,0
CUST-00265,36,Male,64,One-Year,90.32,5874.95,1,188.5,1,0,1,Bank Transfer,0
CUST-00266,43,Male,11,Month-to-Month,22.17,278.36,0,220.0,0,0,0,Cash,0
CUST-00267,20,Female,54,Month-to-Month,83.12,4435.79,2,118.3,0,0,1,Credit Card,1
CUST-00268,36,Female,45,One-Year,36.36,1687.52,0,216.6,1,0,1,Digital Wallet,0
CUST-00269,37,Male,47,Month-to-Month,76.56,3628.17,1,97.8,1,0,1,Digital Wallet,0
CUST-00270,49,Female,12,Month-to-Month,70.39,842.74,1,236.8,0,1,0,Bank Transfer,0
CUST-00271,24,Male,21,One-Year,21.35,412.28,1,102.7,0,0,1,Credit Card,0
CUST-00272,69,Male,11,Two-Year,56.29,646.57,0,77.2,0,1,1,Bank Transfer,0
CUST-00273,58,Male,5,Month-to-Month,80.11,406.7,1,263.8,1,0,0,Cash,0
CUST-00274,50,Male,56,Month-to-Month,104.86,5837.7,2,164.8,1,0,0,Credit Card,1
